release site,year,released,sal_tot,sal_cvp,sal_swp,fall,winter,late_fall,dcc,CI,km,sac_in,exports,exp_prop_sac,length,ocean_adj,ci_cpue,km_z,sac_in_z,exports_z,length_z,ocean_adj_z,ci_cpue_z,CVP,SWP,CVP_z,SWP_z,OMR_z,SJ_Z,pro_z
lk_red,2000,1549,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,0,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.639202575,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,1996,1563,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,62,0,0,0.868600654,1.867591302,1.055524256,-0.773001691,-0.639202575,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,2000,1574,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,9,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.621524635,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,1996,1602,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,60,16,0,0.868600654,1.867591302,1.055524256,-0.849692125,-0.607775127,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,1996,1694,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,59,0,0,0.868600654,1.867591302,1.055524256,-0.888037342,-0.639202575,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,2000,1716,0,0,0,0,1,0,0,1,623.738619,39700,6908,0.174005038,80,10,0.633,0.868600654,0.478450126,0.417432775,-0.082787784,-0.61956042,-0.498787726,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,2000,1730,0,0,0,0,1,0,0,1,623.738619,39700,6908,0.174005038,80,15,0.727,0.868600654,0.478450126,0.417432775,-0.082787784,-0.609739342,-0.484275155,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,1996,1852,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,67,0,0,0.868600654,1.867591302,1.055524256,-0.581275606,-0.639202575,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,2000,2003,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,23,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.594025618,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,1996,2093,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,62,9,0,0.868600654,1.867591302,1.055524256,-0.773001691,-0.621524635,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,2000,2115,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,25,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.590097187,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,2000,2125,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,9,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.621524635,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
